original_path,new_path,slide,original_type,new_type,change,source_data,script_or_source,limitation
assets/figures/template/departamentos/uchile2.pdf,figures_presentation_generated/pdf/uchile2.pdf,1,pdf,pdf,Copiada a la carpeta generada para que la presentacion no dependa de rutas antiguas de figuras.,assets/figures/template/departamentos/uchile2.pdf,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/wrappers/uchile2.tex,Logo institucional; no se redibuja ni altera por identidad visual.
assets/figures/presentation/trazas_fsr.png,figures_presentation_generated/pdf/trazas_fsr.pdf,2,png,pdf/svg/png,"Redibujada como mapa unico para presentacion: usa la capa operacional mas completa identificada en Modelos/Actuales, FSR completo.kmz, con todos sus segmentos cartograficos; elimina los paneles y modelos de ruptura del layout QGIS original, incorpora vista satelital de mayor resolucion en los mismos limites del mapa, aplica nitidez/contraste suave al raster y refuerza la FSR con nucleo magenta y doble contorno oscuro/blanco para mejorar contraste proyectado.","../Modelos/Actuales/Amenaza/Geometrias_base/FSR completo.kmz (200 LineStrings, 1660 vertices; incluye segmentos observados, interpretados e inferidos); contexto urbano: ../Modelos/Actuales/Amenaza/Geometrias_base/Comunas_reparado.shp; tiles satelitales Esri World Imagery zoom 13: https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x}; layout QGIS original identificado: ../Modelos/Actuales/Qgis_traza_FSR/Modelo_FSR_v2.qgz / Composición 2",figures_presentation_generated/src/generate_all_figures.py,"El mapa se redibuja desde los datos vectoriales disponibles; el fondo satelital se descarga en cache local desde el servicio XYZ configurado y, si no esta disponible, el script cae al fondo vectorial de comunas sin cambiar la traza ni los limites."
assets/figures/presentation/modelo_subduccion.pdf,figures_presentation_generated/pdf/modelo_subduccion_zonas_centradas.pdf,8,pdf,pdf/svg/png,"Regenerada desde NRML, matriz de subduccion, ruptura FSR y perfil GMT Earth Relief: agrega un mapa Slab2 a la izquierda con la misma extension del mapa de zonas, colormap batlow invertido para ubicar el extremo claro al inicio de la escala de profundidad, relleno y barra de colores continuos para profundidad Slab2 cerrados entre 0 y 700 km, borde externo solido oscuro de la superficie Slab2 con el mismo lenguaje grafico de los bordes de zonas, curvas de nivel grises segmentadas cada 50 km y tres cotas principales inline sin halo, con espacio de corte minimo alrededor del numero; los mapas principales y el minimapa usan el mismo fondo cartografico: mar celeste #8FB9C6 y continente gris #C4C8CB; la barra de color usa texto negro y queda bajo la linea segmentada de Santiago para no intersectarla; las zonas Poulos 1-7 se grafican como superficies uniformes coloreadas en planta usando los bordes superficial y profundo de cada zona, sin curvas ni relleno Slab2 de fondo; ambos mapas de planta comparten el eje X/Y y usan exactamente el mismo dominio longitudinal y latitudinal; el panel C usa la misma paleta del mapa para batimetria y relieve positivo; incorpora etiquetas de panel (A)-(D) para identificar cada mapa y perfil, con A y B en negro sin fondo y C y D en la esquina superior derecha interna; las etiquetas numeradas mantienen su latitud calculada y se centran longitudinalmente dentro de cada zona, con ajustes locales de las zonas 2 y 4 para evitar superposiciones; las coordenadas del mapa quedan en multiplos de 10 y se quitan las grillas de mapa y perfiles; todos los mapas y perfiles se dibujan con cuatro bordes visibles posicionados por encima de las capas y ticks en bordes superiores/derechos; la linea segmentada de Santiago se dibuja por tramos con color adaptativo blanco/gris oscuro segun el contraste local de la capa visible, por encima de las capas salvo la estrella; el perfil E-O usa la latitud real de Santiago, mantiene la superficie topo-batimetrica en el panel superior con eje Elevacion (km) y signo positivo hacia arriba, dibuja la FSR en el panel de profundidad y hace que tanto el eje como el punto superior de FSR partan en -0.5 km, equivalente a 500 m sobre el nivel 0, pero la etiqueta del eje se presenta como 0; quita titulos internos, unifica tamanos de texto de ejes/ticks y usa una etiqueta FSR con el mismo lenguaje grafico de las etiquetas numeradas de zonas, desplazada a la derecha para mejorar legibilidad.","../Modelos/Actuales/Amenaza/Modelos_base/PSHA_MODELO_SUBDUCCION_CORTO/INTERPLACA/Zona[1-7].nrml; ../Modelos/Actuales/Amenaza/Información previa/Modelos de ejemplo/subduccion/Subduccion.mat (superficie Slab2 para mapa de profundidad y perfil); notebook: ../Modelos/Actuales/Amenaza/Procesadores_datos/Amenaza/generar_plano_subduccion.ipynb; ../Modelos_v2025/hazard/scenario/geometrias/NT_75_34.xml; figures_presentation_generated/data/processed/relief_profile_latS33p459_lon80W_64W.csv; GMT Earth Relief 01m; figures_presentation_generated/src/colormaps/batlow.txt; Natural Earth 1:50m land GeoJSON para fondos cartograficos e inset regional; referencia visual de composicion: Hayes et al. 2018, DOI 10.1126/science.aat4723",figures_presentation_generated/src/generate_all_figures.py,"El perfil de relieve se muestrea desde GMT Earth Relief 01m porque las grillas globales 15s y 30s son demasiado pesadas para el fallback directo sin GMT/PyGMT instalado; si no hay red disponible para Natural Earth, los mapas principales caen a un fondo neutro y se preservan zonas, perfil FSR, relieve y contornos."
assets/figures/presentation/dsha_inter_pga.pdf,figures_presentation_generated/pdf/dsha_inter_pga.pdf,15,pdf,pdf/svg/png,"Mapa DSHA Interplaca Mw 9.3 regenerado como layout QGIS, usando los mismos percentiles PGA p50, grilla, extents y traza FSR; se agrega fondo satelital, marco cebra, tipografia legible, colorbar y pesos de linea consistentes.",../Modelos_v2025/hazard/scenario/resultados/resultados_procesados/out_gmf_maps_single_DEMhillshade/tables; figures_presentation_generated/src/qgis_data/dsha_inter_pga.csv; figures_presentation_generated/src/qgis_data/dsha_pga_bounds.csv,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/export_qgis_maps.py,
assets/figures/presentation/dsha_fsr_pga.pdf,figures_presentation_generated/pdf/dsha_fsr_pga.pdf,15,pdf,pdf/svg/png,"Mapa DSHA FSR Mw 7.5 regenerado como layout QGIS, usando los mismos percentiles PGA p50, grilla, extents y traza FSR; se agrega fondo satelital, marco cebra, tipografia legible, colorbar y pesos de linea consistentes.",../Modelos_v2025/hazard/scenario/resultados/resultados_procesados/out_gmf_maps_single_DEMhillshade/tables; figures_presentation_generated/src/qgis_data/dsha_fsr_pga.csv; figures_presentation_generated/src/qgis_data/dsha_pga_bounds.csv,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/export_qgis_maps.py,
assets/figures/presentation/dsha_intra_pga.pdf,figures_presentation_generated/pdf/dsha_intra_pga.pdf,15,pdf,pdf/svg/png,"Mapa DSHA Intraplaca Mw 8.0 regenerado como layout QGIS, usando los mismos percentiles PGA p50, grilla, extents y traza FSR; se agrega fondo satelital, marco cebra, tipografia legible, colorbar y pesos de linea consistentes.",../Modelos_v2025/hazard/scenario/resultados/resultados_procesados/out_gmf_maps_single_DEMhillshade/tables; figures_presentation_generated/src/qgis_data/dsha_intra_pga.csv; figures_presentation_generated/src/qgis_data/dsha_pga_bounds.csv,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/export_qgis_maps.py,
assets/figures/presentation/fig_4_2_escenarios_simulados.pdf,figures_presentation_generated/pdf/fig_4_2_escenarios_simulados.pdf,12,pdf,pdf/svg/png,"Redibujada desde los XML originales como cartografia vectorial en estilo Figura 3: fondo mar/tierra sobrio, minimapa regional, paneles (A)-(B), ejes geograficos, tipografia sans-serif y rupturas con jerarquia visual; panel B ampliado, FSR reconstruida como contorno exterior continuo desde las superficies kiteSurface y capa oficial PRC RM Limite Urbano disuelta para eliminar bordes internos, preservando islas urbanas externas y dibujando solo exteriores sin relleno.",../Modelos_v2025/hazard/scenario/geometrias/NT_75_34.xml; ../Modelos_v2025/hazard/scenario/geometrias/rupture_intra_80.xml; ../Modelos_v2025/hazard/scenario/geometrias/rupture_inter_93.xml; Natural Earth 1:50m land GeoJSON para fondo cartografico; PRC Region Metropolitana Limite Urbano GeoJSON MMA-MINVU https://lineasdebasepublicas.mma.gob.cl/datos_abiertos/dataset/68659b39-fbd5-4997-b9b6-b93d55036dcc/resource/72db15a6-6519-48ec-a17a-325f0bc3b5b3/download/prc-region-metropolitana-limite-urbano_geojson.zip,figures_presentation_generated/src/generate_all_figures.py,
assets/figures/presentation/fig_5_41_aalr_cambio_rel_pct.pdf,figures_presentation_generated/pdf/fig_5_41_aalr_cambio_rel_pct.pdf,20,pdf,pdf/svg/png,"Regenerada desde paneles QGIS producidos con DuckDB y shapefile de manzanas, conservando el calculo del incremento relativo de AALR con y sin FSR; se agrega fondo satelital tenue, resultados opacos, marco cebra, composicion vertical apilada, norte hacia la izquierda, extension ajustada con padding proporcional a la union FSR-manzanas, margen norte/sur ampliado para que los extremos de la FSR no toquen el marco, lienzo QGIS y lienzo compuesto adaptados a la proporcion real del mapa, etiquetas lat/lon y traza FSR completa bajo las manzanas AALR.",figures_presentation_generated/src/qgis_data/aalr_effect_objectid.csv; figures_presentation_generated/src/qgis_data/aalr_effect_bounds.csv; ../Modelos/Actuales/Riesgo/Bases de datos/Valores comerciales/Valores comerciales/Manzanas_VC_UFm2_DS.shp; notebook: ../Modelos_v2025/risk/event_based/codigos_apoyo/base_de_datos_low_ram.ipynb,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/export_qgis_maps.py,
assets/figures/presentation/exposicion_composicion.pdf,figures_presentation_generated/pdf/exposicion_composicion.pdf,9,pdf,pdf/svg/png,"Regenerada desde SVG identificado, con fuente sans-serif, lineas reforzadas y leyenda compactada para evitar cortes en presentacion.",../Modelos_v2025/resultados_finales/risk_exposicion/Figuras/03_valor/fig_valor__conteos_y_aporte_por_tipologia_en_bins__paper.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/exposicion_composicion.svg,
assets/figures/presentation/fig_5_18_psha_curvas_pga_poisson.pdf,figures_presentation_generated/pdf/fig_5_18_psha_curvas_pga_poisson.pdf,17,pdf,pdf/svg/png,"Regenerada desde ZIP de curvas hazard_curve-mean-PGA, manteniendo series interplaca, intraplaca, FSR, total, ejes log-log y umbrales PGA@10%/PGA@2%; el mapa de sitios se inserta desde layout QGIS satelital con marco cebra.",../Modelos_v2025/hazard/psha/resultados/disagg/curvas_amenaza_apoyo/datos_crudos/output-512-hcurves-csv.zip; ../Modelos_v2025/hazard/psha/resultados/disagg/curvas_amenaza_apoyo/datos_crudos/output-516-hcurves-csv.zip; ../Modelos_v2025/hazard/psha/resultados/disagg/curvas_amenaza_apoyo/datos_crudos/output-520-hcurves-csv.zip; figures_presentation_generated/png/qgis_site_map_control_sites.png; notebook: ../Modelos_v2025/hazard/psha/codigos_apoyo/curvas_amenaza_sitios_interes.ipynb,figures_presentation_generated/src/generate_all_figures.py,Las curvas se reconstruyen desde los ZIP mean identificados por el notebook original; no se usa el SVG de tesis porque su tipografia viene convertida a trazos.
